Medicine Name,Use,Side Effects,Dosage
Diamox Tablets and Injection,"Diamox (acetazolamide) Tablets and Injection is a carbonic anhydrase inhibitor used for adjunctive treatment of edema due to congestive heart failure; drug-induced edema; centrencephalic epilepsies (petit mal, unlocalized seizures); chronic simple (open-angle) glaucoma, secondary glaucoma, and preoperatively in acute angle-closure glaucoma where delay of surgery is desired in order to lower intraocular pressure. Diamox is also indicated for the prevention or amelioration of symptoms associated with acute mountain sickness in climbers attempting rapid ascent and in those who are very susceptible to acute mountain sickness despite gradual ascent.","['headache,', 'feeling unwell (malaise),', 'fatigue,', 'fever,', 'pain at injection site,', 'flushing,']","For diuresis in congestive heart failure, the starting dose of Diamox is usually 250 to 375 mg once daily in the morning (5 mg/kg)."
Diamox Sequels,Diamox Sequels (acetazolamide) is a carbonic anhydrase inhibitor used to treat glaucoma and to treat and to prevent acute mountain sickness (altitude sickness). Diamox Sequels is also used as a part of some treatment plans for congestive heart failure and seizure disorders. Diamox Sequels is available in generic form.,"['dizziness, ', 'lightheadedness, and ', 'an increased amount of urine, especially during the first few days as your body adjusts to the medication. \n\t', 'blurred vision or changes in vision, ', 'dry mouth, ', 'drowsiness, ']","To treat glaucoma, the recommended dosage of Diamox Sequels is 1 capsule (500 mg) two times a day. To treat acute mountain sickness, dosage is 500 mg to 1000 mg daily, in divided doses using tablets or extended-release capsules as appropriate."
Acetic Acid,Acetic Acid Otic Solution is an antibiotic used to treat infections in the ear canal. Acetic Acid Otic Solution will not treat an inner ear infection (also called otitis media). Acetic Acid Otic Solution is available in generic form.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat, and', 'severe burning or irritation after using the ear drops', 'Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights;', 'Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out;']","To promote continuous contact, insert a wick of cotton saturated with Acetic Acid Otic Solution into the ear canal as instructed by your doctor; the wick may be saturated after insertion. Keep the wick in for at least 24 hours and keep it moist by adding 3 to 5 drops of Acetic Acid Otic Solution every 4 to 6 hours. The wick may be removed after 24 hours but continue to instill 5 drops of Acetic Acid Otic Solution 3 or 4 times daily, as prescribed. In pediatric patients, 3 to 4 drops may be sufficient."
Lithostat,"Lithostat (acetohydroxamic acid) tablets are a urease inhibitor indicated as adjunctive therapy in patients with chronic urea-splitting urinary infection. AHA is intended to decrease urinary ammonia and alkalinity, but it should not be used in lieu of curative surgical treatment (for patients with stones) or antimicrobial treatment. Long-term treatment with AHA may be warranted to maintain urease inhibition as long as urea-splitting infection is present.","['mild headaches, ', 'shaking, ', 'nervousness, ', 'nausea, ', 'vomiting, ', 'loss of appetite, ']","The recommended starting dose of Lithostat is 12 mg/kg/day, administered at 6-8 hour intervals at a time when the stomach is empty. The maximum daily dose should be no more than 1.5 grams, regardless of body weight. AHA should be administered orally, one tablet 3-4 times a day in a total daily dose of 10-15 mg/kg/day."
Gantrisin,"Gantrisin (acetyl sulfisoxazole pediatric suspension) is a sulfonamide (""sulfa"") antibiotic used to treat or prevent many different types of infections caused by bacteria, such as bladder infections, ear infections, or meningitis. The brand name Gantrisin is discontinued, but generic versions may be available.","['\xa0stomach pain', 'bloating', 'gas', 'headache', 'dizziness', 'ringing in your ears, or ']",The initial dose of Gantrisin for pediatric patients over 2 months of age is one half of the 24-hour dose. Maintenance dose: 150 mg/kg/24 hours or 4 gm/M²/24 hours - dose to be divided into 4 to 6 doses/24 hours.
Miochol-E,"Miochol-E (acetylcholine chloride intraocular solution) is a parasympathomimetic preparation used to obtain contraction of the iris of the eye in seconds after delivery of the lens in cataract surgery, in penetrating keratoplasty, iridectomy, and other anterior segment surgery where rapid contraction may be required.","['corneal swelling,', 'clouding, and decompensation;', 'slow heart rate,', 'low blood pressure,', 'flushing (warmth, redness, or tingly feeling),', 'breathing difficulties, and']",Miochol-E is instilled into the anterior chamber of the eye (the space in the eye that is behind the cornea and in front of the iris) before or after securing one or more sutures.
Cetylev,Cetylev (acetylcysteine) effervescent tablets for oral solution is an antidote for acetaminophen overdose indicated to prevent or lessen hepatic (liver) injury after ingestion of a potentially hepatotoxic quantity of acetaminophen in patients with acute ingestion or from repeated supratherapeutic ingestion.,"['nausea,', 'vomiting,', 'other gastrointestinal symptoms, and', 'rash with or without fever']",The loading dose of Cetylev is140 mg/kg administered orally. The maintenance dose of Cetylev is 70 mg/kg repeated every 4 hours for a total of 17 doses.
Acetadote,Acetadote (acetylcysteine) Injection is an amino acid used to prevent or lessen hepatic injury due to acetaminophen overdose. Acetadote is available in generic form.,"['rash,', 'hives, \n', 'facial flushing (warmth, redness, or tingly feeling), itching, respiratory symptoms (cough, wheezing, noisy breathing, shortness of breath, chest tightness, or bronchospasm), \n', 'swelling, or low blood pressure (hypotension)\n']",The recommended dose of Acetadote is 300 mg/kg administered over 21 hours.
Acetylcysteine Solution,"Mucomyst (Acetylcysteine Solution n-acetyl-l-cysteine) is a solution of a naturally occurring amino acid that is used to help clear mucus (acts as a mucolytic agent) and material entrapped in mucus in people that have thick mucus that may interfere with breathing or other functions. For example, 
Mucomyst (Acetylcysteine Solution)  may be used to help clear mucus in COPD, cystic fibrosis, pneumonia, and in tracheostomy care. 
Mucomyst (Acetylcysteine Solution) may also be used as an antidote for acetaminophen toxicity. 
Mucomyst (Acetylcysteine Solution) is available as a generic.","['inflammation of the mouth, ', 'nausea, ', 'vomiting, ', 'fever, ', 'runny nose, ', 'drowsiness, ']","When nebulized into a face mask, mouthpiece, or tracheostomy, 1 to 10 mL of the 20% 
Mucomyst (Acetylcysteine Solution) or 2 to 20 mL of the 10% solution may be given every 2 to 6 hours; the recommended dose of 
Mucomyst (Acetylcysteine Solution) for most patients is 3 to 5 mL of the 20% solution or 6 to 10 mL of the 10% solution three to four times a day."
Trianal,"Trianal (butalbital, acetylsalicylic acid, and caffeine tablets or capsules) is a combination of a barbiturate, an analgesic (pain reliever), and a mild stimulant indicated for the relief of tension-type headache. Trianal is a Canadian brand name for butalbital, acetylsalicylic acid (aspirin), and caffeine. A brand name for butalbital, aspirin, and caffeine in the U.S. is Fiorinal. ","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'decreased coordination,', 'fast, slow, irregular, or pounding heartbeat,', 'irritability,']","The adult dose of Trianal is 1 or 2 tablets/capsules followed by 1 tablet/capsule every 3 to 4 hours, if needed."
Achromycin V,"Achromycin V (tetracycline HCl) Capsules are antibiotics indicated to treat a wide variety of bacterial infections. In severe acne, adjunctive therapy with Achromycin V may be useful. Achromycin V is available in generic form.","['loss of appetite, ', 'nausea, ', 'upset stomach, ', 'vomiting, ', 'diarrhea, ', 'swollen or black hairy tongue, ']",The usual adult daily dose of Achromycin V is 1 gram as 500 mg twice daily or 250 mg four times a day.
Aci-Jel,"Aci-Jel Vaginal Jelly (acetic acid/ricinoleic acid/oxyquinoline) is a combination of a vinegar (acetic acid) and ingredients that help the acetic acid work better used to help restore and maintain the natural acid balance (pH) of the vagina, thereby treating vaginal infections (e.g., yeast, fungi) or making them less likely to occur.",[],"The usual dose of Aci-Jel Vaginal Jelly is one applicatorful, administered intravaginally, morning and evening. Duration of treatment may be determined by the patient's response to therapy."
Acidul,Acidul (sodium fluoride) Chewable is fluoride tablets used as a dental cavity preventive in pediatric patients in areas where the drinking water fluoride level does not exceed 0.6 ppm F. Acidul is available in generic form.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'very upset stomach,', 'nausea,', 'vomiting, and']","Dose of Acidul ranges from 0.25 mg to 1 mg, depending on the child's age, and the amount of fluoride in their drinking water."
Aciphex,"Aciphex (rabeprazole sodium) is a proton pump inhibitor (PPI) to reduce stomach acid and is used for the treatment of gastroesophageal reflux disease (GERD), duodenal ulcers, and used in combination with antibiotics to treat Helicobacter pylori (H. pylori) bacterial infections in the stomach. Aciphex is available as generic termed rabeprazole sodium.","['severe stomach pain,', 'bloody diarrhea,', 'sudden pain or difficulty moving hip, wrist or back,', 'seizure (convulsions),', 'urinating less than usual,', 'blood in your urine,']",Aciphex is available in 20 mg strength enteric-coated tablets. The usual dose of Aciphex is one 20 mg tablet per day for 4 to 8 weeks.
Aciphex Sprinkle,"Aciphex Sprinkle (rabeprazole sodium delayed-release capsules), for oral use, is a proton-pump inhibitor (PPI) indicated for the treatment of Gastroesophageal Reflux Disease (GERD) in pediatric patients 1 to 11 years of age.","['vomiting, ', 'abdominal pain, ', 'diarrhea, ', 'headache, ', 'nausea, ', 'pain, ']","The recommended dosage of Aciphex Sprinkle in pediatric patients 1 to 11 years of age for up to 12 weeks is based on the child's body weight. Less than 15 kg: 5 mg once daily with the option to increase to 10 mg once daily, if inadequate response; 15 kg or more: 10 mg once daily."
Soriatane,"Soriatane (acitretin) is a retinoid, which is a form of vitamin A, used to treat severe psoriasis in adults. Soriatane is usually given after other psoriasis medicines have been unsuccessful. Soriatane is not a cure for psoriasis, and you may relapse after you stop taking this medication.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'mood changes,', 'depression,', 'aggression,']","The starting dose of Soriatane is a single dose of 25 to 50 mg per day, with a meal. Maintenance doses of 25 to 50 mg per day may be given."
Tudorza Pressair,"Tudorza Pressair (aclidinium bromide) inhalation powder is an anticholinergic indicated for the long-term maintenance treatment of bronchospasm associated with chronic obstructive pulmonary disease (COPD), including chronic bronchitis and emphysema.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'fever,', 'headache,', 'muscle aches,']",Tudorza Pressair is available for oral inhalation only. The recommended dosage of Tudorza Pressair is one inhalation (400 mcg of aclidinium bromide) twice daily.
Duaklir Pressair,Duaklir Pressair (aclidinium bromide and formoterol fumarate) is a combination of an anticholinergic and a long-acting beta2-adrenergic agonist (LABA) indicated for the maintenance treatment of patients with chronic obstructive pulmonary disease (COPD).,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'difficult or painful urination,', 'muscle cramps,', 'weakness,']","The dose of Duaklir Pressair is 400 mcg/12 mcg, twice daily (once in the morning and once in the evening)."
Aclovate,"Aclovate (alclometasone dipropionate) Cream and Ointment is a topical (for the skin) steroid used to treat the inflammation and itching caused by a number of skin conditions such as allergic reactions, eczema, and psoriasis. Aclovate is available in generic form.","['skin stinging, ', 'burning, ', 'itching, ', 'irritation, ', 'dryness, ', 'redness, or ']",Apply a thin film of Aclovate Cream or Ointment to the affected skin areas 2 or 3 times daily; massage gently until the medication disappears.
Acova,Acova (argatroban) is a direct thrombin inhibitor indicated as an anticoagulant for prophylaxis or treatment of thrombosis in patients with heparin-induced thrombocytopenia.,"['shortness of breath,', 'low blood pressure (hypotension),', 'fever,', 'diarrhea,', 'sepsis,', 'cardiac arrest,']","The recommended initial dose of Acova for adult patients without hepatic impairment is 2 μg/kg/min, administered as a continuous infusion."
Semprex D,"Semprex-D (acrivastine and pseudoephedrine) is a combination of an antihistamine and a decongestant used to treat sneezing, cough, runny or stuffy nose, itchy or watery eyes, hives, skin rash, itching, and other symptoms of allergies and the common cold.","['drowsiness', 'dizziness', 'dry mouth/nose/throat', 'headache', 'upset stomach', 'trouble sleeping (insomnia)']","The recommended dosage of Semprex-D for adults and adolescents 12 years and older is one capsule taken orally, every 4 to 6 hours, four times a day."
Actemra,Actemra (tocilizumab) is an interleukin-6 (IL-6) receptor inhibitor used to treat moderate to severe rheumatoid arthritis in children and adults.,"['severe stomach cramps,', 'bloating,', 'diarrhea,', 'constipation,', 'nosebleeds,', 'bleeding gums,']",Actemra is given once every four weeks by intravenous (IV) infusion by your doctor. Actemra can be taken with or without methotrexate (or other DMARDs).
Acthib,"ActHIB (haemophilus b conjugate vaccine) is an immunization used to prevent infection caused by haemophilus B bacteria, and is sometimes combined with vaccines to protect against other diseases. ActHIB vaccine will not protect against other types of influenza.","['injection site reactions (redness, pain, swelling, or a lump)', 'low fever', 'mild fussiness or crying', 'joint pain', 'body aches', 'drowsiness, or']",The number of doses of ActHIB Vaccine indicated depends on the age at which immunization is begun. A child 7 to 11 months of age should receive 2 doses of ActHIB Vaccine at 8-week intervals and a booster dose at 15 to 18 months of age. A child 12 to 14 months of age should receive 1 dose of ActHIB Vaccine followed by a booster 2 months later. Consult your doctor for the immunization schedule.
Acthrel,"Acthrel (corticorelin ovine triflutate) for Injection is a man-made form of a hormone that occurs naturally in the body and is used as part of a medical test in people with Cushing's syndrome, an endocrine disorder caused by high levels of cortisol (a steroid hormone produced by the adrenal gland). Acthrel is also used to help your doctor determine why your body is producing too much of its own cortisol.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'chest pain or pressure,', 'fast heart rate,', 'feeling like you can’t get enough air,']",A single intravenous dose of Acthrel at 1 mcg/kg is recommended for the testing of pituitary corticotrophin function.
Acticin,Acticin (permethrin) Cream 5% is a topical (for the skin) scabicidal agent used to treat scabies. Acticin Cream is available in generic form.,"['skin irritation including mild burning and stinging immediately following application of cream,', 'itching,', 'skin swelling or redness,', 'numbness,', 'tingling, and', 'rash']","One application of Acticin Cream is generally curative, and usually a 30 gram dose is sufficient for an average adult. Thoroughly massage Acticin Cream into the skin from the head to the soles of the feet. Remove the cream by washing (shower or bath) after 6 to 14 hours. Infants should be treated on the scalp, temple and forehead."
Acticlate,"Acticlate (doxycycline hyclate) is an antibiotic used to treat rickettsial infections, sexually transmitted infections, respiratory tract infections, specific bacterial infections, ophthalmic infections, anthrax, as adjunctive therapy in acute intestinal amebiasis and severe acne, and to prevent malaria.","['anorexia,', 'nausea,', 'vomiting,', 'upset stomach,', 'diarrhea,', 'sensitivity to sunlight (photosensitivity),']","The usual adult dose of Acticlate is 200 mg on the first day of treatment (administered 100 mg every 12 hours), followed by a maintenance dose of 100 mg daily."
Actidose with Sorbitol and Actidose-Aqua,"Actidose-Aqua (activated charcoal suspension) is an antidote used to treat stomach pain caused by excess gas, diarrhea, or indigestion, and to relieve itching related to kidney dialysis treatment and to treat poisoning or drug overdose. Actidose-Aqua is available in generic form.","['nausea,', 'vomiting,', 'diarrhea,', 'black stools,', 'bloating, or', 'constipation.']",Our Actidose-Aqua (activated charcoal suspension) Side Effects Drug Center provides a comprehensive view of available drug information on the potential side effects when taking this medication. 
Actigall,"Actigall (ursodiol) is a bile acid used for patients with radiolucent, noncalcified gallbladder stones < 20 mm in greatest diameter in whom elective cholecystectomy would be undertaken except for the presence of increased surgical risk due to systemic disease, advanced age, idiosyncratic reaction to general anesthesia, or for those patients who refuse surgery. Actigall is also used for the prevention of gallstone formation in obese patients experiencing rapid weight loss. Actigall is available in generic form.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'weakness,', 'swelling of the ankles or feet,', 'increased thirst and urination,']",The recommended dose for Actigall treatment of radiolucent gallbladder stones is 8-10 mg/kg/day given in 2 or 3 divided doses.
Actimmune,Actimmune (interferon gamma 1 b) is a specific interferon made from human proteins used to prevent infections in people with a condition called Chronic Granulomatous Disease. Actimmune is also used to treat a congenital bone disorder called osteopetrosis.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'confusion,', 'hallucination,', 'seizure,']","The recommended dosage of Actimmune for the treatment of patients with Chronic Granulomatous Disease and severe, malignant osteopetrosis is 50 mcg/m2 (1 million IU/m2) for patients whose body surface area is greater than 0.5 m2 and 1.5 mcg/kg/dose for patients whose body surface area is equal to or less than 0.5 m2."
Actiq,"Actiq (oral transmucosal fentanyl citrate) is a narcotic pain medicine used to treat ""breakthrough"" cancer pain that is not controlled by other medicines. Actiq is not for short-term pain relief. Actiq is available in generic form.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'slow breathing with long pauses,', 'blue colored lips,', 'difficult to wake up,']",The initial dose of Actiq to treat episodes of breakthrough cancer pain is always 200 mcg. The Actiq unit should be consumed over 15 minutes. The dose may be increased under a physician's supervision until pain relief is achieved.
Actisite,"Actisite (tetracycline hydrochloride) Periodontal Fiber is an antibiotic used as an adjunct to scaling and root planing for reduction of pocket depth and bleeding on probing in patients with adult periodontitis. The brand name Actisite is discontinued, but generic versions may be available.","['discomfort on fiber placement and local redness following removal,', 'tongue discoloration,', 'thrush.']","Actisite fiber provides continuous release dosing of tetracycline for 10 days. At the end of 10 days of treatment, all fibers must be removed."
Activase,"Activase (alteplase) is an enzyme, which works to break up and dissolve blood clots that can block arteries, used in the treatment of an acute heart attack or pulmonary embolism.","['bleeding,', 'gastrointestinal bleeding,', 'genitourinary bleeding,', 'nosebleed,', 'bleeding gums, and', 'bleeding at the injection site']","The recommended total dose of Activase is based upon patient weight, not to exceed 100 mg."
Actidose with Sorbitol and Actidose-Aqua,"Actidose-Aqua (activated charcoal suspension) is an antidote used to treat stomach pain caused by excess gas, diarrhea, or indigestion, and to relieve itching related to kidney dialysis treatment and to treat poisoning or drug overdose. Actidose-Aqua is available in generic form.","['nausea,', 'vomiting,', 'diarrhea,', 'black stools,', 'bloating, or', 'constipation.']",Our Actidose-Aqua (activated charcoal suspension) Side Effects Drug Center provides a comprehensive view of available drug information on the potential side effects when taking this medication. 
Activella,"Activella (estradiol, norethindrone acetate) is a combination of the female hormones estrogen and progesterone used to treat the symptoms of menopause such as feelings of warmth in the face, neck and chest, or sudden intense spells of heat and sweating (""hot flashes"" or ""hot flushes""); to treat vulvar and vaginal changes (itching, burning, dryness in or around the vagina, difficulty or burning with urination) caused by menopause; and to replace estrogen in conditions such as hypogonadism, removal of the ovaries, or primary ovarian failure that result in a lack of estrogen. Activella is also used to prevent thinning of the bones (osteoporosis). Activella is available in generic form.","['heart attack', 'stroke', 'blood clots', 'breast cancer', 'cancer of the lining of the uterus (womb)', 'cancer of the ovary']","Dosing of Activella is either 1.0 mg/0.5 mg (estradiol, norethindrone acetate) or 0.5 mg/0.1 mg (estradiol, norethindrone acetate). The lowest effective dose and the shortest treatment duration should be used."
Actonel,"Actonel (risedronate sodium) is a bisphosphonate used to treat or prevent osteoporosis in men and women, and is also used to treat Paget's disease of bone.","['chest pain,', 'new or worsening heartburn,', 'difficulty or pain when swallowing,', 'pain or burning under the ribs or in the back,', 'severe heartburn,', 'burning in your upper stomach,']",Dosage of Actonel depends on the condition being treated.
Actonel with Calcium,"Actonel with Calcium (risedronate sodium with calcium carbonate) is a combination of a bisphosphonate with the mineral calcium used to treat or prevent postmenopausal and steroid-induced osteoporosis. Risedronate is also used to treat Paget's disease of bone. Calcium carbonate is used to prevent and to treat calcium deficiencies. The brand name Actonel with Calcium is discontinued, but generic versions may be available.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'fever,', 'sore throat,', 'burning in your eyes,']","The dose of Actonel is one 35 mg Actonel tablet orally, taken once-a-week (Day 1 of the 7-day treatment cycle), and one 1250 mg calcium carbonate tablet (500 mg elemental calcium) orally, taken with food daily on each of the remaining six days (Days 2 through 7 of the 7-day treatment cycle)."
Actoplus MET,Actoplus MET (pioglitazone hydrochloride and metformin hydrochloride) is a combination of 2 oral diabetes medicines for people with type 2 diabetes who do not use daily insulin injections. Actoplus MET is not for treating type 1 diabetes. Actoplus MET is available in generic form.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'unusual muscle pain,', 'feeling cold,', 'dizziness,']",The dose of Actoplus MET is individualized on the basis of effectiveness and tolerability. The maximum recommended daily dose is pioglitazone 45 mg/metformin 2550 mg.
Actos,"Actos (pioglitazone hydrochloride) is a thiazolidinedione and increases the body's sensitivity to insulin. Actos is used for type 2 diabetes, not type 1 diabetes or diabetic ketoacidosis. Generic Actos is not available in the U.S., but is available in other countries as pioglitazone.","['shortness of breath (especially when laying down),', 'unusual tiredness,', 'swelling,', 'rapid weight gain,', 'pink or red urine,', 'painful or difficult urination,']","Actos is available as tablets in strengths of 15, 30 or 45 mg. Dose is dependent on patient response and the prescribing doctor's clinical judgment; glucose tests may help determine doses."
Acular,"Acular (ketorolac tromethamine) Ophthalmic Solution is a nonsteroidal anti-inflammatory drug (NSAID) used to relieve eye itching caused by seasonal allergies. Acular is also used to reduce swelling, pain, and burning or stinging after cataract surgery or corneal refractive surgery. Acular is available in generic form.","['temporary stinging, ', 'burning, or ', 'itching of the eyes for 1-2 minutes when applied. ', 'eye redness, ', 'swollen or puffy eyelids, and ', 'headache. ']","The recommended dose of Acular ophthalmic solution is one drop (0.25 mg) four times a day for relief of ocular itching due to seasonal allergic conjunctivitis. For the treatment of postoperative inflammation in cataract surgery patients, one drop should be applied to the affected eye(s) four times daily beginning 24 hours after surgery and continued for 2 weeks postoperatively."
Acular LS,"Acular LS (ketorolac tromethamine ophthalmic solution) is a nonsteroidal anti-inflammatory drug (NSAID) used to relieve eye itching caused by seasonal allergies. Acular LS is also used to reduce swelling, pain, and burning or stinging after cataract surgery or corneal refractive surgery. Acular LS is available in generic form.","['temporary stinging or burning of the eyes for 1-2 minutes when applied,', 'eye itching', ' eye redness,', 'swollen or puffy eyelids, and', 'headache', 'Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights;']",The recommended dose of Acular LS ophthalmic solution is one drop four times a day in the operated eye as needed for pain and burning/stinging for up to 4 days following corneal refractive surgery.
Acuvail,"Acuvail (ketorolac tromethamine) Ophthalmic Solution is a nonsteroidal anti-inflammatory drug (NSAID) used to treat pain inflammation after cataract surgery or corneal refractive surgery, and also to relieve eye itching caused by seasonal allergies.","['mild burning,', 'stinging, or', 'itching of your eyes; swollen or puffy eyelids, or', 'headache']","The dose of Acuvail is to apply one drop to the affected eye twice daily beginning 1 day prior to cataract surgery, continued on the day of surgery, and through the first 2 weeks of the postoperative period."
ACUVUE Theravision with Ketotifen,"Acuvue Theravision with Ketotifen (etafilcon A drug-eluting contact lens with ketotifen) is a daily wear, daily disposable etafilcon A drug-eluting contact lens packaged with an H1 histamine receptor antagonist, indicated for the prevention ocular itch due to allergic conjunctivitis and correction of refractive ametropia (myopia and hyperopia) in aphakic and/or phakic patients who do not have red eye(s), are suitable for contact lens wear and do not have more than 1 D of astigmatism.","['eye irritation,', 'eye pain, and', 'instillation site pain']",Insert one lens per eye per day. Discard lens after a single day's use.
Zovirax,Zovirax (acyclovir) is a synthetic nucleoside analogue that interferes with the replication of herpes viruses used to treat ,"['shingles, ', 'chickenpox, ', 'and genital herpes.', 'nausea, ', 'vomiting, ', 'diarrhea, ']","Zovirax tablets are available in 200, 400 and 800 mg strengths and as a liquid suspension with 200 mg strength per 5 ml. Usual doses are 800 mg every 4 hours, 5 times a day for 10 days for shingles; doses for genital herpes infection are the same interval but start with 200 mg. Doses for chickenpox is the same as shingles except it goes for only 5 days for adults;  for children ages 2 and up are weight based (20 mg per Kg) up to 40 Kg, 5 times a day for 5 days. Over 40 Kg, the person gets the adult dose for 5 days."
Zovirax Suspension,"Zovirax (acyclovir suspension) is a nucleoside analogue used to treat herpes zoster (shingles), to treat initial episodes and manage recurrent episodes of genital herpes, and to treat chickenpox (varicella).","['nausea,', 'vomiting,', 'diarrhea,', 'headache, and', 'feeing unwell (malaise)', 'probenecid']","The dose of Zovirax to treat acute herpes zoster is 800 mg every 4 hours orally, 5 times daily for 7 to 10 days. The dose of Zovirax to treat initial genital herpes is 200 mg every 4 hours, 5 times daily for 10 days. The dose of Zovirax used for chronic suppressive therapy for recurrent genital herpes is 400 mg 2 times daily for up to 12 months, followed by re-evaluation. The dose of Zovirax to treat chickenpox in children (2 years of age and older) is 20 mg/kg per dose orally 4 times daily (80 mg/kg/day) for 5 days. Children over 40 kg should receive the adult dose for chickenpox. The dose of Zovirax to treat chickenpox adults and children over 40 kg is 800 mg 4 times daily for 5 days."
Xerese,Xerese (acyclovir and hydrocortisone) Cream 5%/1% for Topical Use is a combination antiviral medication and anti-inflammatory corticosteroid used to treat recurrent herpes labialis (cold sores) to reduce the likelihood of ulcerative cold sores and to shorten the lesion healing time.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat, and', 'burning, stinging, or irritation of treated skin', 'drying or flaking of the skin,', 'burning or tingling following application,']",Topically apply Xerese 5 times per day for 5 days. Apply a dose sufficient to cover the affected area.
Sitavig,Sitavig (acyclovir) is an antiviral medication prescribed to treat recurrent cold sores.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'easy bruising or bleeding,', 'purple or red pinpoint spots under your skin,', 'changes in behavior,']",Sitavig is available as one 50 mg buccal tablet that is applied to the upper gum region inside the mouth.
Zovirax Cream,"Zovirax (acyclovir) Cream, 5% is a herpes simplex virus (HSV) nucleoside analogue DNA polymerase inhibitor used to treat recurrent herpes labialis (cold sores) in immunocompetent adults and adolescents 12 years of age and older.","['application site reactions such as dry lips, ', 'skin sloughing, ', 'skin dryness, ', 'cracked lips, ', 'burning skin, ', 'itching, ']","Zovirax Cream should be applied five times per day for four days. Therapy should be initiated as early as possible following the onset of signs or symptoms of herpes labialis i.e., during the prodrome or when lesions appear."
Zovirax Injection,Zovirax (acyclovir sodium) for Injection is an antiviral that is used for treating infections caused by the herpes virus.,[],Zovirax is given as an IV injection as directed by your doctor. It is usually given for at least once every 8 hours for 5 to 10 days.
B12,"B12 [vitamin b12 (liver-stomach concentrate with intrinsic factor)] is an anti-anemia preparation used to treat anemias that respond to oral hematinics, including pernicious anemia and other megaloblastic anemia and also iron-deficiency anemia. B12 is available in generic form.","['diarrhea', 'constipation', 'skin rash suggesting\n\tallergy']",The dose of B12 is one capsule twice a day.
BabyBIG,BabyBIG [botulism immune globulin intravenous (human) (BIG-IV)] is an immune globulin intravenous (human) indicated for treatment of infant botulism caused by toxin types A or B in patients below one year of age.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'tenderness, redness, warmth, cold feeling, or blue/purple appearance in the arms or legs,', 'fussiness,', 'blue lips,']",The recommended dose of BabyBIG is 1.0 mL/kg (50 mg/kg) given as a single intravenous infusion.
Baciguent,Baciguent (bacitracin ointment) is an antibiotic used for the treatment of superficial ocular (eye) infections involving the conjunctiva and/or cornea caused by bacitracin susceptible organisms.,"['hives,', 'difficulty breathing, and', 'swelling of your face, lips, tongue, or throat', 'Serious eye symptoms such as sudden vision loss, blurred vision,tunnel vision,eye painor swelling, or seeing halos around lights;', 'Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out;', 'Severe headache,confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors.']",The usual dose of Baciguent ointment is application directly into the conjunctival sac 1 to 3 times daily. In blepharitis all scales and crusts should be carefully removed and the ointment then spread uniformly over the lid margins. Patients should be instructed to take appropriate measures to avoid gross contamination of the ointment when applying the ointment directly to the infected eye.
BACiiM,BACiiM (bacitracin injection) is an antibiotic used to treat infants with pneumonia and empyema caused by staphylococci shown to be susceptible to the drug. The use of BACiiM is limited to neonates/infants with pneumonia or empyema caused by susceptible strains of staphylococci when less toxic antibiotics would not be effective. BACiiM is available in generic form.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'diarrhea that is watery or bloody,', 'urinating more than usual,', 'frequent urination,']","The dose of BACiiM for infants under 2500 grams is 900 units/kg/24 hours in 2 or 3 divided doses. The dose of BACiiM for infants over 2,500 grams is 1,000 units/kg/24 hours, in 2 or 3 divided doses."
